Order ID,Customer ID,Customer Name,Segment,Order Date,Ship Mode,Product ID,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit,State,Region,City,Ship Date
ORD-00017,CUST-017,Michael Martin,Consumer,26/04/2021,Standard,PROD-017,Technology,Accessories,Mouse,6,0,2533.62,-1450.02,Georgia,South,Atlanta,3/05/2021
ORD-00018,CUST-018,Barbara Thompson,Consumer,9/08/2021,Standard,PROD-018,Office Supplies,Binders,Binder,2,0.5,2311.98,-436.23,New York,East,Albany,13/08/2021
ORD-00019,CUST-019,Amy Mitchell,Home Office,13/05/2021,Standard,PROD-019,Technology,Accessories,Mouse,9,0.11,3262.09,2220.93,New York,East,New York,14/05/2021
ORD-00020,CUST-020,Sharon Torres,Home Office,4/06/2023,First Class,PROD-020,Office Supplies,Binders,Binder,10,0.11,389.07,-329.28,Florida,South,Miami,10/06/2023
ORD-00021,CUST-021,Alice Brown,Corporate,5/07/2024,Standard,PROD-021,Furniture,Storage,Filing Cabinet,9,0.49,1540.76,-745.22,Washington,West,Seattle,12/07/2024
ORD-00022,CUST-022,Steven Phillips,Home Office,3/12/2020,First Class,PROD-022,Furniture,Furnishings,Desk Lamp,2,0.43,1134.79,366.68,Texas,South,Houston,10/12/2020
ORD-00023,CUST-023,Patricia Harris,Consumer,19/11/2021,Standard,PROD-023,Office Supplies,Fasteners,Stapler,10,0.14,4828.09,10325.23,Georgia,South,Atlanta,21/11/2021
ORD-00025,CUST-025,Angela Carter,Corporate,9/05/2023,Standard,PROD-025,Technology,Copiers,Copier,9,0,2024.93,4336.36,Illinois,Midwest,Chicago,13/05/2023
ORD-00026,CUST-026,Lisa Adams,Corporate,31/10/2021,Standard,PROD-026,Technology,Computers,Laptop,6,0.46,2192.35,-219.67,Florida,South,Miami,7/11/2021
ORD-00027,CUST-027,Barbara Thompson,Consumer,30/04/2023,Standard,PROD-027,Furniture,Bookcases,Bookcase,6,0.46,2940.43,938.62,Illinois,Midwest,Chicago,7/05/2023
ORD-00028,CUST-028,Sandra Nelson,Corporate,10/02/2022,First Class,PROD-028,Technology,Phones,Phone,2,0.3,4854.97,-110.38,Ohio,Midwest,Columbus,17/02/2022
ORD-00029,CUST-029,George Turner,Corporate,13/10/2024,First Class,PROD-029,Technology,Computers,Laptop,8,0.43,2571.75,-288.39,Florida,South,Miami,17/10/2024
ORD-00030,CUST-030,Charles Lewis,Home Office,18/06/2020,Standard,PROD-030,Furniture,Bookcases,Bookcase,10,0.39,2605.37,-2565.71,Georgia,South,Atlanta,20/06/2020
ORD-00031,CUST-031,John Smith,Home Office,25/07/2020,Standard,PROD-031,Technology,Phones,Phone,2,0.2,3456.17,-1020.11,Texas,South,Houston,29/07/2020
ORD-00032,CUST-032,Karen White,Home Office,17/06/2020,Standard,PROD-032,Furniture,Storage,Filing Cabinet,6,0.16,633.5,-529.05,Georgia,South,Atlanta,24/06/2020
ORD-00033,CUST-033,Paul Baker,Consumer,17/06/2020,First Class,PROD-033,Technology,Printers,Printer,5,0.34,1248.53,130.74,Georgia,South,Atlanta,20/06/2020
ORD-00034,CUST-034,Christopher Young,Consumer,18/06/2024,First Class,PROD-034,Office Supplies,Fasteners,Stapler,4,0.31,2065.29,873.98,Ohio,Midwest,Columbus,21/06/2024
ORD-00035,CUST-035,Charles Lewis,Consumer,19/02/2024,First Class,PROD-035,Office Supplies,Paper,Paper,7,0.47,3884.99,4296.88,Florida,South,Orlando,25/02/2024
ORD-00036,CUST-036,James Anderson,Home Office,18/01/2020,Second Class,PROD-036,Technology,Printers,Printer,10,0.08,2627.09,4372.21,Florida,South,Orlando,23/01/2020
ORD-00037,CUST-037,Michael Martin,Corporate,3/11/2020,Standard,PROD-037,Office Supplies,Appliances,Paper Shredder,9,0.04,328.95,298.13,Georgia,South,Atlanta,7/11/2020
ORD-00038,CUST-038,Christopher Young,Consumer,11/01/2023,Second Class,PROD-038,Office Supplies,Binders,Binder,1,0.4,4325.36,-247.81,Texas,South,Austin,16/01/2023
ORD-00039,CUST-039,Jessica Taylor,Corporate,27/05/2022,Standard,PROD-039,Technology,Computers,Laptop,4,0.32,1482.16,249.24,Washington,West,Seattle,2/06/2022
ORD-00040,CUST-040,Mike Lee,Home Office,5/10/2022,Standard,PROD-040,Technology,Accessories,Mouse,5,0,4674.1,-2423.75,California,West,San Francisco,10/10/2022
ORD-00041,CUST-041,Nancy Scott,Home Office,8/07/2020,Standard,PROD-041,Technology,Accessories,Mouse,6,0.09,1058.98,876.63,Illinois,Midwest,Chicago,13/07/2020
ORD-00042,CUST-042,Jessica Taylor,Corporate,13/06/2024,First Class,PROD-042,Furniture,Bookcases,Bookcase,10,0.13,1306.86,300.55,Washington,West,Seattle,16/06/2024
ORD-00043,CUST-043,Susan King,Consumer,12/07/2024,Second Class,PROD-043,Furniture,Tables,Desk,5,0.12,2371.5,2561.11,Georgia,South,Atlanta,19/07/2024
ORD-00044,CUST-044,Susan King,Home Office,29/11/2023,First Class,PROD-044,Furniture,Bookcases,Bookcase,9,0.5,4128.44,-461.93,California,West,San Francisco,4/12/2023
ORD-00045,CUST-045,Sharon Torres,Consumer,20/08/2023,First Class,PROD-045,Furniture,Storage,Filing Cabinet,10,0,2380.69,3986.38,Illinois,Midwest,Chicago,25/08/2023
ORD-00046,CUST-046,Elizabeth Robinson,Home Office,7/11/2020,Second Class,PROD-046,Technology,Phones,Phone,4,0.36,2780,-186.44,Washington,West,Seattle,13/11/2020
ORD-00047,CUST-047,Bob Wilson,Home Office,15/04/2020,Standard,PROD-047,Office Supplies,Fasteners,Stapler,1,0.27,245.1,-12.81,Florida,South,Orlando,19/04/2020
ORD-00048,CUST-048,Mark Hill,Home Office,5/01/2020,Second Class,PROD-048,Technology,Computers,Laptop,5,0.03,3276.29,-2282.68,Georgia,South,Atlanta,9/01/2020
ORD-00049,CUST-049,Angela Carter,Home Office,23/08/2022,First Class,PROD-049,Technology,Accessories,Mouse,10,0.01,276.09,-77.71,New York,East,New York,27/08/2022
ORD-00050,CUST-050,David Johnson,Home Office,29/12/2020,Second Class,PROD-000,Technology,Accessories,Mouse,5,0.14,3260.79,-685.09,Georgia,South,Atlanta,4/01/2021
ORD-00051,CUST-051,Nancy Scott,Home Office,7/03/2020,Second Class,PROD-001,Technology,Accessories,Mouse,1,0.29,1776.21,25.05,Florida,South,Orlando,13/03/2020
ORD-00052,CUST-052,Mike Lee,Home Office,30/09/2020,Second Class,PROD-002,Technology,Printers,Printer,9,0.48,2423.82,-1843.86,California,West,San Diego,5/10/2020
ORD-00053,CUST-053,Steven Phillips,Consumer,19/08/2021,Standard,PROD-003,Technology,Computers,Laptop,1,0.18,4418.74,656.3,Ohio,Midwest,Columbus,24/08/2021
ORD-00054,CUST-054,Jennifer Walker,Consumer,23/09/2024,First Class,PROD-004,Office Supplies,Appliances,Paper Shredder,10,0.29,1966.38,885.17,New York,East,New York,28/09/2024
ORD-00055,CUST-055,Michelle Collins,Home Office,21/01/2022,Second Class,PROD-005,Office Supplies,Appliances,Paper Shredder,2,0.5,983.84,73.36,Washington,West,Seattle,26/01/2022
ORD-00056,CUST-056,Edward Parker,Consumer,22/10/2023,Second Class,PROD-006,Technology,Copiers,Copier,1,0.02,389.68,-58.72,California,West,San Francisco,27/10/2023
ORD-00057,CUST-057,Thomas Wright,Home Office,5/11/2023,Second Class,PROD-007,Technology,Copiers,Copier,1,0.27,236.24,15.41,Texas,South,Houston,8/11/2023
ORD-00058,CUST-058,Rebecca Evans,Consumer,20/08/2024,First Class,PROD-008,Technology,Printers,Printer,7,0.4,4984.07,3245.33,New York,East,New York,25/08/2024
ORD-00059,CUST-059,Patricia Harris,Consumer,4/12/2023,Standard,PROD-009,Technology,Copiers,Copier,10,0.34,1746.14,-2233.91,New York,East,New York,8/12/2023
ORD-00060,CUST-060,Emily Clark,Corporate,1/01/2022,Second Class,PROD-010,Furniture,Bookcases,Bookcase,6,0.06,4688.65,3506.1,Texas,South,Austin,6/01/2022
ORD-00061,CUST-061,Bob Wilson,Home Office,26/09/2023,First Class,PROD-011,Office Supplies,Appliances,Paper Shredder,7,0,4471.14,-3118.99,Illinois,Midwest,Chicago,27/09/2023
ORD-00062,CUST-062,Jon Smith,Consumer,17/03/2023,Standard,PROD-012,Office Supplies,Fasteners,Stapler,10,0.05,3335.84,1562.26,Texas,South,Austin,23/03/2023
ORD-00063,CUST-063,Barbara Thompson,Home Office,28/06/2020,Standard,PROD-013,Technology,Copiers,Copier,9,0.16,1587.64,3018.51,Georgia,South,Atlanta,29/06/2020
ORD-00064,CUST-064,Jennifer Walker,Home Office,23/03/2020,Second Class,PROD-014,Furniture,Chairs,Office Chair,2,0.03,4448.24,2235.01,Georgia,South,Atlanta,27/03/2020
ORD-00065,CUST-065,Mike Lee,Corporate,4/12/2020,Second Class,PROD-015,Furniture,Chairs,Office Chair,10,0.09,134.59,261.56,Georgia,South,Atlanta,11/12/2020
ORD-00066,CUST-066,Barbara Thompson,Consumer,26/09/2021,Standard,PROD-016,Technology,Computers,Laptop,9,0.4,1622.43,2075.36,California,West,San Diego,29/09/2021
ORD-00067,CUST-067,Jessica Taylor,Home Office,7/11/2021,First Class,PROD-017,Office Supplies,Appliances,Paper Shredder,4,0.14,2763.85,2506.41,California,West,Los Angeles,10/11/2021
ORD-00068,CUST-068,Nancy Scott,Consumer,23/07/2020,Second Class,PROD-018,Office Supplies,Appliances,Paper Shredder,4,0,1437.51,408.59,Georgia,South,Atlanta,25/07/2020
ORD-00069,CUST-069,Charles Lewis,Home Office,20/03/2020,Second Class,PROD-019,Furniture,Furnishings,Desk Lamp,4,0.48,760.33,-170.41,Florida,South,Miami,21/03/2020
ORD-00070,CUST-070,Mark Hill,Home Office,8/04/2023,Standard,PROD-020,Technology,Phones,Phone,2,0.07,594.01,161.11,Georgia,South,Atlanta,9/04/2023
ORD-00071,CUST-071,Michelle Collins,Home Office,17/06/2020,Standard,PROD-021,Office Supplies,Appliances,Paper Shredder,7,0.06,2055.62,1652.54,California,West,San Diego,21/06/2020
ORD-00072,CUST-072,Thomas Wright,Home Office,21/03/2020,First Class,PROD-022,Technology,Printers,Printer,8,0.43,4578.33,588.63,Texas,South,Houston,26/03/2020
ORD-00073,CUST-073,Karen White,Corporate,12/06/2023,Standard,PROD-023,Technology,Computers,Laptop,10,0.29,4889.93,1474.59,Florida,South,Orlando,15/06/2023
ORD-00074,CUST-074,Thomas Wright,Home Office,1/01/2020,Second Class,PROD-024,Office Supplies,Appliances,Paper Shredder,3,0,4747.61,1567.85,Florida,South,Miami,5/01/2020
ORD-00075,CUST-075,Susan King,Home Office,9/08/2024,Standard,PROD-025,Furniture,Storage,Filing Cabinet,7,0,3380.49,4952.42,California,West,San Diego,11/08/2024
ORD-00076,CUST-076,Michael Martin,Corporate,28/01/2021,Standard,PROD-026,Furniture,Tables,Desk,7,0.1,4593.03,8327.13,New York,East,New York,29/01/2021
ORD-00077,CUST-077,Jon Smith,Consumer,4/06/2024,Second Class,PROD-027,Office Supplies,Appliances,Paper Shredder,5,0.36,926.98,-264.13,New York,East,New York,5/06/2024
ORD-00078,CUST-078,Charles Lewis,Corporate,14/12/2020,Second Class,PROD-028,Furniture,Storage,Filing Cabinet,1,0.06,3246.09,65.29,Illinois,Midwest,Chicago,18/12/2020
ORD-00079,CUST-079,Alice Brown,Home Office,11/03/2022,First Class,PROD-029,Office Supplies,Fasteners,Stapler,4,0.32,3702.49,154.35,Washington,West,Seattle,13/03/2022
ORD-00081,CUST-081,Emily Clark,Home Office,1/10/2022,First Class,PROD-031,Technology,Accessories,Mouse,8,0.44,4359.99,975.18,New York,East,New York,7/10/2022
ORD-00082,CUST-082,Sharon Torres,Consumer,8/08/2020,Standard,PROD-032,Office Supplies,Appliances,Paper Shredder,6,0.06,1367.03,1140.28,Ohio,Midwest,Columbus,15/08/2020
ORD-00083,CUST-083,Michelle Collins,Corporate,1/07/2021,First Class,PROD-033,Technology,Computers,Laptop,1,0.25,2656.44,-283.18,New York,East,New York,7/07/2021
ORD-00084,CUST-084,Karen White,Corporate,30/04/2023,Second Class,PROD-034,Office Supplies,Paper,Paper,6,0.09,1793.88,1497.49,Ohio,Midwest,Columbus,1/05/2023
ORD-00085,CUST-085,Angela Carter,Corporate,19/08/2021,Second Class,PROD-035,Technology,Phones,Phone,10,0,1159.14,243.88,Florida,South,Miami,23/08/2021
ORD-00086,CUST-086,William Garcia,Corporate,14/06/2023,Standard,PROD-036,Office Supplies,Fasteners,Stapler,10,0.47,3941.19,-247.47,Washington,West,Seattle,16/06/2023
ORD-00087,CUST-087,Karen White,Consumer,9/09/2024,Second Class,PROD-037,Technology,Copiers,Copier,10,0.2,1018.48,1181.39,Washington,West,Seattle,15/09/2024
ORD-00088,CUST-088,Mark Hill,Home Office,13/12/2022,Standard,PROD-038,Furniture,Tables,Desk,1,0,4928.97,1421.46,Illinois,Midwest,Chicago,15/12/2022
ORD-00089,CUST-089,Nancy Scott,Home Office,26/05/2020,Second Class,PROD-039,Technology,Computers,Laptop,7,0.04,4533.6,8938.72,Texas,South,Houston,29/05/2020
ORD-00090,CUST-090,Charles Lewis,Corporate,30/08/2024,First Class,PROD-040,Technology,Accessories,Mouse,5,0.29,4204.04,2918.38,Georgia,South,Atlanta,1/09/2024
ORD-00091,CUST-091,Michelle Collins,Corporate,8/06/2023,Second Class,PROD-041,Office Supplies,Fasteners,Stapler,1,0.07,618.56,-84.46,Georgia,South,Atlanta,15/06/2023
ORD-00092,CUST-092,Steven Phillips,Corporate,5/08/2021,Standard,PROD-042,Office Supplies,Fasteners,Stapler,9,0,1870.34,3416.34,Illinois,Midwest,Chicago,6/08/2021
ORD-00093,CUST-093,Barbara Thompson,Home Office,10/10/2020,Second Class,PROD-043,Office Supplies,Binders,Binder,2,0.24,532.5,48.09,Texas,South,Houston,11/10/2020
ORD-00094,CUST-094,Alice Brown,Consumer,13/05/2020,Second Class,PROD-044,Office Supplies,Fasteners,Stapler,1,0.5,2898.58,-202.99,California,West,San Diego,16/05/2020
ORD-00095,CUST-095,Mary Allen,Home Office,4/08/2022,First Class,PROD-045,Furniture,Tables,Desk,7,0.41,1274.53,1026.38,Ohio,Midwest,Columbus,10/08/2022
ORD-00096,CUST-096,Sarah Davis,Consumer,26/05/2023,Standard,PROD-046,Office Supplies,Appliances,Paper Shredder,8,0.33,4164.22,-3955.82,Texas,South,Austin,2/06/2023
ORD-00097,CUST-097,Barbara Thompson,Consumer,11/10/2024,Standard,PROD-047,Office Supplies,Paper,Paper,2,0,3531.86,146.79,Texas,South,Houston,13/10/2024
ORD-00098,CUST-098,Bob Wilson,Corporate,16/06/2021,Second Class,PROD-048,Technology,Printers,Printer,1,0.33,4107.65,609.11,Ohio,Midwest,Columbus,22/06/2021
ORD-00099,CUST-099,Mary Allen,Corporate,18/11/2020,Standard,PROD-049,Furniture,Furnishings,Desk Lamp,10,0.16,898.99,428.47,Georgia,South,Atlanta,20/11/2020
ORD-00100,CUST-100,Daniel Green,Home Office,10/08/2023,First Class,PROD-000,Furniture,Chairs,Office Chair,2,0.33,2957.07,-329.5,Texas,South,Austin,16/08/2023
ORD-00101,CUST-101,Charles Lewis,Corporate,8/05/2024,First Class,PROD-001,Office Supplies,Fasteners,Stapler,8,0.34,3270.07,-548.26,California,West,San Diego,11/05/2024
ORD-00102,CUST-102,Emily Clark,Corporate,4/12/2023,Standard,PROD-002,Furniture,Chairs,Office Chair,10,0.43,4433.18,1135.6,Washington,West,Seattle,8/12/2023
ORD-00103,CUST-103,Michael Martin,Consumer,20/11/2022,Second Class,PROD-003,Technology,Accessories,Mouse,7,0.3,1033.6,-250.92,New York,East,New York,23/11/2022
ORD-00104,CUST-104,Rebecca Evans,Corporate,15/07/2020,First Class,PROD-004,Office Supplies,Binders,Binder,6,0.04,3919.58,2153.6,California,West,Los Angeles,21/07/2020
ORD-00105,CUST-105,Mary Allen,Consumer,13/10/2022,Standard,PROD-005,Technology,Accessories,Mouse,2,0.01,4830.37,-117.76,New York,East,New York,17/10/2022
ORD-00106,CUST-106,Michael Martin,Corporate,27/05/2023,Second Class,PROD-006,Furniture,Bookcases,Bookcase,1,0.41,4705.76,677.37,Texas,South,Austin,28/05/2023
ORD-00108,CUST-108,Kevin Campbell,Home Office,12/11/2023,Standard,PROD-008,Technology,Copiers,Copier,10,0.17,4516.89,-4537.84,California,West,Los Angeles,19/11/2023
ORD-00109,CUST-109,Daniel Green,Consumer,4/08/2021,First Class,PROD-009,Technology,Accessories,Mouse,3,0.1,3789.77,484.61,California,West,San Diego,8/08/2021
ORD-00111,CUST-111,Mark Hill,Consumer,16/03/2022,Second Class,PROD-011,Technology,Accessories,Mouse,9,0.03,3565.82,-1580.25,Ohio,Midwest,Columbus,18/03/2022
ORD-00112,CUST-112,James Anderson,Home Office,11/10/2024,First Class,PROD-012,Office Supplies,Binders,Binder,7,0.05,320.73,26.73,Illinois,Midwest,Chicago,17/10/2024
ORD-00113,CUST-113,Elizabeth Robinson,Corporate,24/11/2021,Second Class,PROD-013,Technology,Accessories,Mouse,6,0.47,1766,1573.64,Texas,South,Houston,27/11/2021
ORD-00114,CUST-114,Linda Martinez,Consumer,23/09/2023,Second Class,PROD-014,Technology,Copiers,Copier,4,0.34,4271.25,-550.52,Florida,South,Miami,26/09/2023
ORD-00115,CUST-115,William Garcia,Consumer,29/11/2020,First Class,PROD-015,Furniture,Tables,Desk,8,0.28,2487.6,2088.07,Washington,West,Seattle,3/12/2020
ORD-00116,CUST-116,Steven Phillips,Consumer,24/11/2023,Second Class,PROD-016,Office Supplies,Paper,Paper,5,0.01,174.3,-31.64,Florida,South,Orlando,26/11/2023
ORD-00117,CUST-117,Angela Carter,Consumer,26/08/2022,Standard,PROD-017,Furniture,Tables,Desk,10,0.17,4040.82,2409.94,New York,East,New York,1/09/2022
ORD-00118,CUST-118,Elizabeth Robinson,Corporate,17/07/2024,Standard,PROD-018,Office Supplies,Binders,Binder,5,0.32,4615.71,-386.39,California,West,San Francisco,18/07/2024
ORD-00119,CUST-119,George Turner,Corporate,15/07/2022,Second Class,PROD-019,Office Supplies,Appliances,Paper Shredder,6,0,464.86,-296.23,Washington,West,Seattle,17/07/2022
ORD-00120,CUST-120,Paul Baker,Consumer,4/01/2022,Standard,PROD-020,Technology,Phones,Phone,6,0,3875.86,-193.3,Illinois,Midwest,Chicago,11/01/2022
ORD-00121,CUST-121,George Turner,Home Office,8/11/2022,First Class,PROD-021,Furniture,Bookcases,Bookcase,9,0.32,2982.55,192.14,Texas,South,Houston,14/11/2022
ORD-00122,CUST-122,Daniel Green,Home Office,19/09/2021,Second Class,PROD-022,Technology,Accessories,Mouse,4,0.1,4482.79,4338.2,Ohio,Midwest,Columbus,26/09/2021
ORD-00123,CUST-123,Thomas Wright,Consumer,24/08/2021,Second Class,PROD-023,Furniture,Chairs,Office Chair,10,0.07,2046.1,-3066.83,Florida,South,Orlando,26/08/2021
ORD-00124,CUST-124,Barbara Thompson,Consumer,31/08/2023,First Class,PROD-024,Technology,Phones,Phone,4,0.28,2953.37,389.05,Illinois,Midwest,Chicago,7/09/2023
ORD-00125,CUST-125,Linda Martinez,Corporate,16/12/2023,Second Class,PROD-025,Technology,Printers,Printer,2,0.23,4531.46,-22.39,Texas,South,Austin,22/12/2023
ORD-00126,CUST-126,Amy Mitchell,Corporate,26/07/2024,First Class,PROD-026,Office Supplies,Appliances,Paper Shredder,9,0.32,3800.18,2457.39,Georgia,South,Atlanta,27/07/2024
ORD-00127,CUST-127,Kevin Campbell,Consumer,1/04/2022,Second Class,PROD-027,Furniture,Furnishings,Desk Lamp,6,0.03,1784.3,2536.01,Georgia,South,Atlanta,5/04/2022
ORD-00128,CUST-128,Mike Lee,Home Office,6/05/2022,First Class,PROD-028,Office Supplies,Binders,Binder,7,0.16,1461.71,-1303.21,Ohio,Midwest,Columbus,11/05/2022
ORD-00129,CUST-129,Sarah Davis,Home Office,10/07/2024,Second Class,PROD-029,Technology,Computers,Laptop,7,0.34,547.34,99.51,Washington,West,Seattle,15/07/2024
ORD-00130,CUST-130,David Johnson,Corporate,26/04/2021,Second Class,PROD-030,Furniture,Tables,Desk,6,0.36,2852.39,-1104.29,Florida,South,Orlando,2/05/2021
ORD-00131,CUST-131,James Anderson,Corporate,14/06/2024,Second Class,PROD-031,Office Supplies,Binders,Binder,5,0.21,1811.05,-304.5,Georgia,South,Atlanta,19/06/2024
ORD-00132,CUST-132,Michelle Collins,Consumer,30/09/2024,Standard,PROD-032,Furniture,Chairs,Office Chair,10,0.04,4658.57,-1281.8,Ohio,Midwest,Columbus,2/10/2024
ORD-00133,CUST-133,Karen White,Consumer,25/09/2021,First Class,PROD-033,Furniture,Chairs,Office Chair,4,0.23,1077.43,656.27,Illinois,Midwest,Chicago,29/09/2021
ORD-00134,CUST-134,Alice Brown,Corporate,26/09/2023,Standard,PROD-034,Technology,Copiers,Copier,5,0.45,2282.53,-525.95,New York,East,New York,28/09/2023
ORD-00135,CUST-135,Paul Baker,Consumer,30/10/2021,First Class,PROD-035,Furniture,Bookcases,Bookcase,8,0.14,3462.39,2028.11,Washington,West,Seattle,3/11/2021
ORD-00136,CUST-136,Sharon Torres,Corporate,7/03/2021,Standard,PROD-036,Technology,Accessories,Mouse,9,0,4933.84,13242.34,Texas,South,Houston,9/03/2021
ORD-00137,CUST-137,Emily Clark,Consumer,7/05/2021,First Class,PROD-037,Furniture,Storage,Filing Cabinet,2,0.17,2602.15,174.7,Illinois,Midwest,Chicago,10/05/2021
ORD-00138,CUST-138,Nancy Scott,Corporate,2/08/2022,Standard,PROD-038,Furniture,Storage,Filing Cabinet,3,0.07,957.35,772.02,Washington,West,Seattle,4/08/2022
ORD-00139,CUST-139,Nancy Scott,Home Office,31/10/2020,Second Class,PROD-039,Office Supplies,Fasteners,Stapler,7,0.12,2352.21,1985.67,Florida,South,Orlando,1/11/2020
ORD-00140,CUST-140,Sharon Torres,Consumer,11/12/2023,Standard,PROD-040,Office Supplies,Paper,Paper,9,0.15,2496.3,-1282.21,Illinois,Midwest,Chicago,18/12/2023
ORD-00141,CUST-141,Mark Hill,Consumer,13/11/2020,Standard,PROD-041,Technology,Printers,Printer,9,0.23,3004.67,-3646.04,Ohio,Midwest,Columbus,16/11/2020
ORD-00142,CUST-142,Brian Roberts,Home Office,16/03/2020,Second Class,PROD-042,Furniture,Tables,Desk,9,0,902.29,-835.29,Illinois,Midwest,Chicago,23/03/2020
ORD-00143,CUST-143,Elizabeth Robinson,Home Office,11/06/2020,Standard,PROD-043,Furniture,Tables,Desk,2,0.01,285.31,-44.15,Ohio,Midwest,Columbus,18/06/2020
ORD-00144,CUST-144,Steven Phillips,Corporate,30/04/2020,First Class,PROD-044,Office Supplies,Fasteners,Stapler,1,0.43,677.07,93.55,Washington,West,Seattle,7/05/2020
ORD-00145,CUST-145,John Smith,Consumer,18/04/2023,Second Class,PROD-045,Furniture,Tables,Desk,8,0.48,4466.79,-3341.71,Ohio,Midwest,Columbus,20/04/2023
ORD-00146,CUST-146,Alice Brown,Home Office,27/11/2024,First Class,PROD-046,Technology,Printers,Printer,9,0.41,2178.16,-87.64,California,West,Los Angeles,2/12/2024
ORD-00147,CUST-147,David Johnson,Corporate,29/08/2020,First Class,PROD-047,Office Supplies,Appliances,Paper Shredder,7,0.47,868.62,482.42,Illinois,Midwest,Chicago,30/08/2020
ORD-00148,CUST-148,Alice Brown,Home Office,29/10/2020,Second Class,PROD-048,Office Supplies,Appliances,Paper Shredder,4,0.36,721.21,497.32,Washington,West,Seattle,4/11/2020
ORD-00149,CUST-149,Angela Carter,Consumer,8/08/2020,Second Class,PROD-049,Furniture,Chairs,Office Chair,3,0.07,1063.54,147.23,Texas,South,Houston,15/08/2020
ORD-00150,CUST-150,Charles Lewis,Consumer,8/07/2022,Standard,PROD-000,Technology,Computers,Laptop,1,0.27,508.26,-61.55,Washington,West,Seattle,14/07/2022
ORD-00152,CUST-152,Christopher Young,Consumer,1/11/2020,Standard,PROD-002,Furniture,Storage,Filing Cabinet,10,0,261.53,-102.6,Ohio,Midwest,Columbus,2/11/2020
ORD-00153,CUST-153,David Johnson,Corporate,20/01/2024,Second Class,PROD-003,Furniture,Chairs,Office Chair,8,0.05,344.06,-276.54,Florida,South,Orlando,26/01/2024
ORD-00154,CUST-154,Jennifer Walker,Corporate,30/05/2020,Second Class,PROD-004,Furniture,Bookcases,Bookcase,1,0.39,3209.1,488.07,Florida,South,Orlando,2/06/2020
